Symbol,best_description,functional_category,pleiotropy_class,master_score,Peak -logP_adipose,Effect Size_adipose,genomic_context_adipose,tier_adipose,Peak -logP_liver,Effect Size_liver,genomic_context_liver,tier_liver,same_direction,peak_distance_mb
Fntb,"farnesyltransferase, CAAX box, subunit beta",lipid_metabolism,shared_cis_conserved,52.539,40.2,-0.441,promoter,Tier_2_Validate,37.5,-0.977,promoter,Tier_2_Validate,True,0.0
Spaca1,sperm acrosome associated 1,other,shared_cis_conserved,52.238,36.5,0.677,proximal,Tier_2_Validate,50.0,0.748,proximal,Tier_2_Validate,True,0.504
Tmem14a,transmembrane protein 14A,other,shared_cis_conserved,52.045,37.3,-0.637,distal_cis,Tier_2_Validate,51.7,-1.827,distal_cis,Tier_1_HighConfidence,True,0.0
Uggt2,UDP-glucose glycoprotein glucosyltransferase 2,lipid_metabolism,shared_cis_conserved,51.239,24.2,0.291,proximal,Tier_2_Validate,49.3,1.124,proximal,Tier_2_Validate,True,0.0
Ccdc77,coiled-coil domain containing 77,other,shared_cis_conserved,50.778,38.1,-0.535,proximal,Tier_2_Validate,31.9,-0.9,proximal,Tier_2_Validate,True,0.0
Ecd,ecdysoneless cell cycle regulator,other,shared_cis_conserved,50.663,34.3,-0.328,proximal,Tier_2_Validate,54.1,-0.673,proximal,Tier_2_Validate,True,0.561
Cntn1,contactin 1,other,shared_cis_conserved,50.592,23.6,0.663,proximal,Tier_2_Validate,20.0,0.728,proximal,Tier_2_Validate,True,0.317
Ggh,gamma-glutamyl hydrolase,other,shared_cis_conserved,50.53,32.2,-0.35,promoter,Tier_2_Validate,24.9,-0.493,proximal,Tier_2_Validate,True,0.49
Prim2,DNA primase subunit 2,other,shared_cis_conserved,50.437,41.4,-0.464,proximal,Tier_2_Validate,25.3,-0.703,proximal,Tier_2_Validate,True,0.694
RT1-CE14,"RT1 class I, locus CE14",other,shared_cis_flip,45.787,114.4,1.384,proximal,Tier_1_HighConfidence,21.5,-1.334,promoter,Tier_2_Validate,False,0.391
RT1-A3,"RT1 class I, locus A3",other,shared_cis_flip,45.599,60.7,0.635,proximal,Tier_2_Validate,103.4,-3.372,proximal,Tier_1_HighConfidence,False,0.322
Brinp3,BMP/retinoic acid inducible neural specific 3,other,shared_cis_flip,44.095,98.0,1.827,proximal,Tier_1_HighConfidence,24.9,-0.557,proximal,Tier_2_Validate,False,0.0
Cbr1l1,carbonyl reductase 1 like 1,other,shared_cis_flip,42.929,70.3,-1.69,distal_cis,Tier_1_HighConfidence,56.9,2.322,promoter,Tier_1_HighConfidence,False,1.376
RT1-CE11,"RT1 class I, locus CE11",other,shared_cis_flip,42.792,87.7,1.746,distal_cis,Tier_1_HighConfidence,31.6,-0.955,proximal,Tier_2_Validate,False,1.792
Tnfrsf8,TNF receptor superfamily member 8,signaling,tissue_specific,41.709,137.1,2.776,proximal,Tier_1_HighConfidence,,,,,False,
Dmkn,dermokine,other,tissue_specific,41.451,123.7,-2.535,promoter,Tier_1_HighConfidence,,,,,False,
Cbr1l2,carbonyl reductase 1 like 2,other,shared_cis_flip,41.438,49.3,-2.285,proximal,Tier_1_HighConfidence,30.5,1.389,proximal,Tier_2_Validate,False,0.0
P2rx5,purinergic receptor P2X 5,signaling,tissue_specific,40.275,,,,,144.7,-3.735,proximal,Tier_1_HighConfidence,False,
